,datetime,113,101,329
351,2020-01-15T15:00:00,4.0,1.0,0.0
352,2020-01-15T16:00:00,2.0,7.0,2.0
353,2020-01-15T17:00:00,1.0,15.0,0.0
354,2020-01-15T18:00:00,7.0,11.0,1.0
355,2020-01-15T19:00:00,9.0,4.0,0.0
356,2020-01-15T20:00:00,6.0,3.0,0.0
357,2020-01-15T21:00:00,2.0,4.0,0.0
358,2020-01-15T22:00:00,2.0,8.0,0.0
359,2020-01-15T23:00:00,2.0,0.0,0.0
360,2020-01-16T00:00:00,0.0,1.0,0.0
361,2020-01-16T01:00:00,1.0,0.0,0.0
362,2020-01-16T02:00:00,0.0,0.0,0.0
363,2020-01-16T03:00:00,1.0,1.0,0.0
364,2020-01-16T04:00:00,2.0,0.0,0.0
365,2020-01-16T05:00:00,2.0,0.0,1.0
366,2020-01-16T06:00:00,2.0,1.0,0.0
367,2020-01-16T07:00:00,15.0,5.0,3.0
368,2020-01-16T08:00:00,6.0,4.0,1.0
369,2020-01-16T09:00:00,4.0,3.0,2.0
370,2020-01-16T10:00:00,1.0,4.0,0.0
371,2020-01-16T11:00:00,2.0,2.0,1.0
372,2020-01-16T12:00:00,3.0,4.0,3.0
373,2020-01-16T13:00:00,2.0,9.0,0.0
374,2020-01-16T14:00:00,2.0,6.0,2.0
375,2020-01-16T15:00:00,2.0,4.0,1.0
376,2020-01-16T16:00:00,5.0,7.0,0.0
377,2020-01-16T17:00:00,6.0,13.0,0.0
378,2020-01-16T18:00:00,7.0,1.0,0.0
379,2020-01-16T19:00:00,4.0,12.0,0.0
380,2020-01-16T20:00:00,16.0,3.0,0.0
381,2020-01-16T21:00:00,4.0,3.0,0.0
382,2020-01-16T22:00:00,2.0,3.0,0.0
383,2020-01-16T23:00:00,3.0,2.0,0.0
384,2020-01-17T00:00:00,1.0,3.0,0.0
385,2020-01-17T01:00:00,1.0,1.0,0.0
386,2020-01-17T02:00:00,2.0,0.0,0.0
387,2020-01-17T03:00:00,1.0,1.0,0.0
388,2020-01-17T04:00:00,10.0,0.0,0.0
389,2020-01-17T05:00:00,1.0,1.0,0.0
390,2020-01-17T06:00:00,5.0,2.0,0.0
391,2020-01-17T07:00:00,9.0,2.0,3.0
392,2020-01-17T08:00:00,3.0,6.0,2.0
393,2020-01-17T09:00:00,3.0,4.0,1.0
394,2020-01-17T10:00:00,4.0,6.0,0.0
395,2020-01-17T11:00:00,3.0,8.0,0.0
396,2020-01-17T12:00:00,0.0,5.0,0.0
397,2020-01-17T13:00:00,3.0,8.0,0.0
398,2020-01-17T14:00:00,3.0,2.0,1.0
399,2020-01-17T15:00:00,2.0,3.0,1.0
400,2020-01-17T16:00:00,6.0,17.0,2.0
401,2020-01-17T17:00:00,17.0,5.0,0.0
402,2020-01-17T18:00:00,5.0,4.0,0.0
403,2020-01-17T19:00:00,4.0,9.0,3.0
404,2020-01-17T20:00:00,2.0,8.0,0.0
405,2020-01-17T21:00:00,3.0,9.0,0.0
406,2020-01-17T22:00:00,18.0,3.0,0.0
407,2020-01-17T23:00:00,4.0,4.0,0.0
408,2020-01-18T00:00:00,1.0,4.0,0.0
409,2020-01-18T01:00:00,3.0,3.0,0.0
410,2020-01-18T02:00:00,3.0,6.0,0.0
411,2020-01-18T03:00:00,1.0,1.0,0.0
412,2020-01-18T04:00:00,1.0,2.0,0.0
413,2020-01-18T05:00:00,0.0,2.0,0.0
414,2020-01-18T06:00:00,0.0,1.0,0.0
415,2020-01-18T07:00:00,1.0,0.0,0.0
416,2020-01-18T08:00:00,6.0,3.0,1.0
417,2020-01-18T09:00:00,0.0,5.0,1.0
418,2020-01-18T10:00:00,2.0,0.0,0.0
419,2020-01-18T11:00:00,3.0,2.0,3.0
420,2020-01-18T12:00:00,4.0,6.0,1.0
421,2020-01-18T13:00:00,3.0,2.0,0.0
422,2020-01-18T14:00:00,5.0,4.0,1.0
423,2020-01-18T15:00:00,4.0,2.0,0.0
424,2020-01-18T16:00:00,2.0,1.0,0.0
425,2020-01-18T17:00:00,3.0,1.0,0.0
426,2020-01-18T18:00:00,1.0,3.0,0.0
427,2020-01-18T19:00:00,3.0,2.0,0.0
428,2020-01-18T20:00:00,16.0,8.0,0.0
429,2020-01-18T21:00:00,3.0,1.0,2.0
430,2020-01-18T22:00:00,1.0,4.0,0.0
431,2020-01-18T23:00:00,5.0,3.0,0.0
432,2020-01-19T00:00:00,7.0,3.0,1.0
433,2020-01-19T01:00:00,0.0,1.0,0.0
434,2020-01-19T02:00:00,1.0,1.0,0.0
435,2020-01-19T03:00:00,1.0,0.0,0.0
436,2020-01-19T04:00:00,0.0,0.0,0.0
437,2020-01-19T05:00:00,1.0,0.0,0.0
438,2020-01-19T06:00:00,1.0,2.0,0.0
439,2020-01-19T07:00:00,0.0,1.0,0.0
